epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.9324,2.29145,5.42915,0.03618,0.16417,0.63333,0.18568,0.08007,1.70687,4.84001,0.02892,0.00012,0.00012,0.00012
2,46.997,1.41751,3.96268,0.02042,0.63685,0.83333,0.84165,0.6089,1.04715,1.9855,0.0182,0.000259936,0.000259936,0.000259936
3,67.0173,1.21319,2.27962,0.01575,0.99525,1,0.995,0.67281,1.18525,1.25615,0.02096,0.000399609,0.000399609,0.000399609
4,83.1579,1.28424,1.82856,0.01852,1,0.99961,0.995,0.34702,2.29319,1.49316,0.04576,0.000538814,0.000538814,0.000538814
5,99.0715,1.45099,1.49295,0.02026,0.91827,0.74938,0.83112,0.46295,1.6343,1.32429,0.03218,0.000677346,0.000677346,0.000677346
6,115.76,1.44386,1.18137,0.02049,1,0.89314,0.94174,0.47258,1.7659,1.05279,0.03555,0.000815003,0.000815003,0.000815003
7,131.786,1.35742,1.05059,0.0196,0.96657,0.96391,0.98879,0.62167,1.41423,0.74619,0.02619,0.000951583,0.000951583,0.000951583
8,145.047,1.33319,0.87636,0.01775,1,0.96406,0.99312,0.61965,1.35092,0.71092,0.02668,0.00108689,0.00108689,0.00108689
9,160.963,1.35914,0.91063,0.01987,0.96518,1,0.98661,0.61287,1.46174,0.48022,0.02881,0.00122072,0.00122072,0.00122072
10,177.261,1.42081,0.85832,0.01866,0.90565,0.86667,0.95653,0.48309,1.76531,0.7204,0.04151,0.00135288,0.00135288,0.00135288
11,190.737,1.42451,0.80958,0.02194,0.88896,0.80057,0.93984,0.3754,2.1035,0.95796,0.04315,0.00148317,0.00148317,0.00148317
12,205.565,1.41929,0.70327,0.01933,0.79707,0.8,0.85386,0.47045,1.4951,1.22273,0.02832,0.00161142,0.00161142,0.00161142
13,220.282,1.46775,0.71964,0.02188,0.91797,0.93333,0.96216,0.40217,1.9739,2.08586,0.03847,0.00173743,0.00173743,0.00173743
14,235.093,1.40208,0.69149,0.01989,0.8473,0.92497,0.91632,0.51881,1.53429,1.04887,0.03026,0.00186102,0.00186102,0.00186102
15,248.893,1.38011,0.77406,0.01917,0.98375,0.96667,0.99403,0.48277,1.72727,0.61415,0.03559,0.00190578,0.00190578,0.00190578
16,262.619,1.41569,0.65633,0.01922,0.99379,1,0.995,0.59122,1.46946,0.75065,0.02879,0.0018921,0.0018921,0.0018921
17,277.744,1.31168,0.58696,0.0177,0.93435,0.94905,0.98498,0.60791,1.41707,0.79209,0.02889,0.00187754,0.00187754,0.00187754
18,292.755,1.3946,0.62821,0.019,0.95207,0.96667,0.98832,0.53109,1.65016,0.71681,0.03275,0.00186213,0.00186213,0.00186213
19,306.524,1.33638,0.64689,0.01837,0.98892,1,0.995,0.66284,1.27696,0.49666,0.02577,0.00184588,0.00184588,0.00184588
